threshold,accuracy,precision,recall,f1
0,0.3617021276595745,0.3617021276595745,1.0,0.53125
5,0.40425531914893614,0.37209302325581395,0.9411764705882353,0.5333333333333333
10,0.41843971631205673,0.3779527559055118,0.9411764705882353,0.5393258426966292
15,0.46808510638297873,0.4,0.9411764705882353,0.5614035087719298
20,0.5106382978723404,0.41964285714285715,0.9215686274509803,0.5766871165644172
25,0.524822695035461,0.42452830188679247,0.8823529411764706,0.5732484076433121
30,0.574468085106383,0.45263157894736844,0.8431372549019608,0.589041095890411
35,0.5886524822695035,0.4606741573033708,0.803921568627451,0.5857142857142857
40,0.6028368794326241,0.4691358024691358,0.7450980392156863,0.5757575757575758
45,0.624113475177305,0.4861111111111111,0.6862745098039216,0.5691056910569106
50,0.624113475177305,0.4857142857142857,0.6666666666666666,0.5619834710743802
55,0.6595744680851063,0.5294117647058824,0.5294117647058824,0.5294117647058824
60,0.6595744680851063,0.5294117647058824,0.5294117647058824,0.5294117647058824
65,0.6524822695035462,0.5238095238095238,0.43137254901960786,0.4731182795698925
70,0.6595744680851063,0.5365853658536586,0.43137254901960786,0.4782608695652174
75,0.6808510638297872,0.5833333333333334,0.4117647058823529,0.4827586206896552
80,0.6737588652482269,0.5757575757575758,0.37254901960784315,0.4523809523809524
85,0.6524822695035462,0.5333333333333333,0.3137254901960784,0.3950617283950617
90,0.6595744680851063,0.5517241379310345,0.3137254901960784,0.4
95,0.6808510638297872,0.6666666666666666,0.23529411764705882,0.34782608695652173
100,0.6808510638297872,0.6666666666666666,0.23529411764705882,0.34782608695652173
105,0.6666666666666666,0.75,0.11764705882352941,0.2033898305084746
110,0.6666666666666666,0.75,0.11764705882352941,0.2033898305084746
115,0.6737588652482269,0.8571428571428571,0.11764705882352941,0.20689655172413793
120,0.6737588652482269,1.0,0.09803921568627451,0.17857142857142858
125,0.6737588652482269,1.0,0.09803921568627451,0.17857142857142858
130,0.6666666666666666,1.0,0.0784313725490196,0.14545454545454545
135,0.6524822695035462,1.0,0.0392156862745098,0.07547169811320754
140,0.6524822695035462,1.0,0.0392156862745098,0.07547169811320754
145,0.6524822695035462,1.0,0.0392156862745098,0.07547169811320754
150,0.6524822695035462,1.0,0.0392156862745098,0.07547169811320754
